date,usd_pen
2026-01-19,3.366
2026-01-20,3.363
2026-01-21,3.359
2026-01-22,3.36
2026-01-23,3.359
2026-01-26,3.356
2026-01-27,3.352
2026-01-28,3.345
2026-01-29,3.345
2026-01-30,3.355
2026-02-02,3.369
2026-02-03,3.365
2026-02-04,3.364
2026-02-05,3.368
2026-02-06,3.363
2026-02-09,3.363
2026-02-10,3.362
2026-02-11,3.363
2026-02-12,3.358
2026-02-13,3.358
2026-02-16,3.356
2026-02-17,3.348
2026-02-18,3.353
2026-02-19,3.366
2026-02-20,3.36
2026-02-23,3.362
2026-02-24,3.363
2026-02-25,3.363
2026-02-26,3.36
2026-02-27,3.361
2026-03-02,3.368
2026-03-03,3.408
2026-03-04,3.414
2026-03-05,3.432
2026-03-06,3.479
2026-03-09,3.493
2026-03-10,3.451
2026-03-11,3.427
2026-03-12,3.449
2026-03-13,3.453
2026-03-16,3.439
2026-03-17,3.417
2026-03-18,3.435
2026-03-19,3.454
2026-03-20,3.477
2026-03-23,3.468
2026-03-24,3.464
2026-03-25,3.468
2026-03-26,3.466
2026-03-27,3.486
2026-03-30,3.495
2026-03-31,3.495
2026-04-01,3.467
2026-04-06,3.449
2026-04-07,3.438
2026-04-08,3.399
2026-04-09,3.387
2026-04-10,3.385
2026-04-13,3.379
2026-04-14,3.39
2026-04-15,3.436
2026-04-16,3.436
2026-04-17,3.442
2026-04-20,3.444
2026-04-21,3.442
2026-04-22,3.444
2026-04-23,3.462
2026-04-24,3.478
2026-04-27,3.51
2026-04-28,3.519
2026-04-29,3.529
2026-04-30,3.521
2026-05-04,3.522
2026-05-05,3.498
2026-05-06,3.47
2026-05-07,3.461
2026-05-08,3.45
2026-05-11,3.44
2026-05-12,3.434
2026-05-13,3.426
2026-05-14,3.419
2026-05-15,3.435
2026-05-18,3.439
2026-05-19,3.431
2026-05-20,3.414
2026-05-21,3.418
2026-05-22,3.421
2026-05-25,3.42
2026-05-26,3.42
2026-05-27,3.421
2026-05-28,3.416
2026-05-29,3.417
2026-06-01,3.424
2026-06-02,3.414
2026-06-03,3.422
2026-06-04,3.418
2026-06-05,3.443
2026-06-08,3.498
2026-06-09,3.375
2026-06-10,3.402
2026-06-11,3.394
2026-06-12,3.389
2026-06-15,3.387
2026-06-16,3.382
2026-06-17,3.384
2026-06-18,3.388
2026-06-19,3.386
2026-06-22,3.387
2026-06-23,3.41
2026-06-24,3.425
2026-06-25,3.415
2026-06-26,3.415
2026-06-30,3.415
2026-07-01,3.416
2026-07-02,3.409
2026-07-03,3.403
2026-07-06,3.411
2026-07-07,3.409
2026-07-08,3.412
2026-07-09,3.406
2026-07-10,3.397
2026-07-13,3.406
2026-07-14,3.397
2026-07-15,3.391
2026-07-16,3.396
2026-07-17,3.408
2026-07-20,3.408
2026-07-21,3.403
